origin_city,origin_country,origin_station,destination_city,destination_country,destination_station,operator_name,duration,trip_count,frequency_bucket,transport_type,frequency_daily,frequency_label
Guarda (),ES,Guarda (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:50,24.0,Average,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Covilha (),ES,Covilha (Bus Station),FlixBus/EU,03:50,6.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Evora,ES,Evora,FlixBus/EU,01:20,60.0,Very High,,,
Evora,ES,Evora,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,01:20,60.0,Very High,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Beja,ES,Beja,FlixBus/EU,02:35,12.0,Low,,,
Beja,ES,Beja,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,02:35,12.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Aljezur,ES,Aljezur,FlixBus/EU,03:50,10.0,Low,,,
Vila Nova de Mil Fontes,ES,Vila Nova de Mil Fontes,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,02:30,7.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Vila Nova de Mil Fontes,ES,Vila Nova de Mil Fontes,FlixBus/EU,02:30,7.0,Low,,,
Zambujeira do Mar,ES,Zambujeira do Mar,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:05,7.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Zambujeira do Mar,ES,Zambujeira do Mar,FlixBus/EU,03:05,7.0,Low,,,
Aljezur,ES,Aljezur,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:50,10.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Leiria (),ES,Leiria (Bus Station),FlixBus/EU,01:55,42.0,Very High,,,
Leiria (),ES,Leiria (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,01:55,48.0,Very High,,,
Lisbon (Airport),ES,Lisbon (Airport),Leiria (),ES,Leiria (Bus Station),FlixBus/EU,02:00,6.0,Low,,,
Lisbon (Airport),ES,Lisbon (Airport),Coimbra,ES,Coimbra,FlixBus/EU,02:40,18.0,Average,,,
Coimbra,ES,Coimbra,Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,02:20,12.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Fatima (),ES,Fatima (Bus Station),FlixBus/EU,01:20,6.0,Low,,,
Coimbra,ES,Coimbra,Lisbon (Airport),ES,Lisbon (Airport),FlixBus/EU,02:40,18.0,Average,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Coimbra,ES,Coimbra,FlixBus/EU,02:20,12.0,Low,,,
Fatima (),ES,Fatima (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,01:20,6.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Bragança (),ES,Bragança (Bus Station),FlixBus/EU,06:30,20.0,Average,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Viseu (),ES,Viseu (Bus Station),FlixBus/EU,03:30,44.0,Very High,,,
Viseu (),ES,Viseu (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:30,43.0,Very High,,,
Bragança (),ES,Bragança (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,06:30,20.0,Average,,,
Porto (Airport),ES,Porto (Airport),Bragança (),ES,Bragança (Bus Station),FlixBus/EU,03:15,18.0,Average,,,
Bragança (),ES,Bragança (Bus Station),Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),FlixBus/EU,02:45,6.0,Low,,,
Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),Bragança (),ES,Bragança (Bus Station),FlixBus/EU,02:45,6.0,Low,,,
Bragança (),ES,Bragança (Bus Station),Porto (Airport),ES,Porto (Airport),FlixBus/EU,03:15,18.0,Average,,,
